frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.05, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.00, 0.00, 0.24, 0.27, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.040,  0.98,  1, 0.07, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.88, 0.15, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.080,  0.98,  1, 0.14, 0.00, 0.00, 0.01, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.08, 0.00, 0.00, 1.30, 0.22, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.120,  0.98,  1, 0.23, 0.00, 0.00, 0.12, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 1.37, 0.42, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.160,  0.98,  1, 0.29, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.27, 0.00, 0.00, 1.11, 0.58, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.200,  0.98,  1, 0.37, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.36, 0.00, 0.00, 0.77, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.240,  0.98,  1, 0.38, 0.00, 0.00, 0.15, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.00, 0.48, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.280,  0.98,  1, 0.39, 0.00, 0.00, 0.19, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.66, 0.00, 0.04, 0.39, 0.19, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.320,  0.98,  1, 0.38, 0.00, 0.00, 0.16, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.70, 0.00, 0.09, 0.40, 0.10, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.360,  0.98,  1, 0.31, 0.00, 0.00, 0.13, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.57, 0.00, 0.33, 0.55, 0.29, 0.65, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.400,  0.98,  1, 0.21, 0.06, 0.00, 0.12, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.59, 0.56, 0.58, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.440,  0.98,  1, 0.18, 0.17, 0.00, 0.18, 0.03, 0.09, 0.00, 0.00, 0.00, 0.00, 0.02, 0.19, 0.00, 0.55, 0.96, 0.60, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
13,  0,  0.480,  0.98,  1, 0.27, 0.17, 0.00, 0.30, 0.03, 0.14, 0.00, 0.00, 0.00, 0.00, 0.12, 0.19, 0.00, 0.31, 0.75, 0.35, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
14,  0,  0.520,  0.98,  1, 0.40, 0.17, 0.00, 0.48, 0.03, 0.10, 0.00, 0.00, 0.00, 0.00, 0.12, 0.06, 0.00, 0.12, 0.58, 0.25, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
15,  0,  0.560,  0.98,  1, 0.44, 0.12, 0.00, 0.53, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.10, 0.25, 0.18, 0.39, 0.00, 0.37, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
16,  0,  0.600,  0.98,  1, 0.42, 0.18, 0.00, 0.58, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.36, 0.68, 0.00, 0.40, 0.49, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
17,  0,  0.640,  0.98,  1, 0.39, 0.19, 0.00, 0.42, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.34, 0.52, 0.78, 0.03, 0.35, 0.43, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
18,  0,  0.680,  0.98,  1, 0.24, 0.18, 0.01, 0.44, 0.07, 0.46, 0.00, 0.16, 0.00, 0.01, 0.00, 0.21, 0.57, 0.79, 0.21, 0.55, 0.38, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
19,  0,  0.720,  0.98,  1, 0.14, 0.11, 0.03, 0.36, 0.17, 0.78, 0.00, 0.30, 0.01, 0.01, 0.00, 0.09, 0.62, 0.80, 0.36, 0.81, 0.59, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
20,  0,  0.760,  0.98,  1, 0.06, 0.03, 0.03, 0.32, 0.27, 0.96, 0.00, 0.47, 0.01, 0.01, 0.00, 0.09, 0.53, 0.90, 0.73, 0.87, 0.58, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
21,  0,  0.800,  0.92,  1, 0.10, 0.03, 0.02, 0.13, 0.20, 0.84, 0.00, 0.31, 0.01, 0.00, 0.00, 0.12, 0.42, 0.90, 0.71, 0.73, 0.45, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
22,  0,  0.840,  0.98,  1, 0.25, 0.03, 0.00, 0.02, 0.10, 0.61, 0.00, 0.16, 0.00, 0.00, 0.00, 0.10, 0.20, 0.66, 0.80, 0.74, 0.14, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
23,  0,  0.880,  0.98,  1, 0.52, 0.04, 0.00, 0.00, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.12, 0.52, 0.47, 0.59, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
24,  0,  0.920,  0.98,  1, 0.75, 0.07, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.43, 0.34, 0.38, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
25,  0,  0.960,  0.98,  1, 0.82, 0.07, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.47, 0.00, 0.62, 0.10, 0.13, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
26,  0,  1.000,  0.98,  1, 0.81, 0.07, 0.00, 0.00, 0.00, 0.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, 0.00, 0.64, 0.03, 0.23, 0.65, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
27,  0,  1.040,  0.92,  1, 0.71, 0.00, 0.00, 0.00, 0.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.81, 0.00, 0.67, 0.01, 0.42, 0.64, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
28,  0,  1.080,  0.98,  1, 0.58, 0.00, 0.00, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.73, 0.00, 0.62, 0.07, 0.59, 0.56, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
29,  0,  1.120,  0.98,  1, 0.36, 0.00, 0.02, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.68, 0.00, 0.66, 0.20, 0.84, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
30,  0,  1.160,  0.92,  1, 0.16, 0.00, 0.03, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.41, 0.04, 0.67, 0.29, 1.23, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
31,  0,  1.200,  0.98,  1, 0.05, 0.00, 0.03, 0.02, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.14, 0.74, 0.43, 1.50, 0.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
32,  0,  1.240,  0.98,  1, 0.00, 0.02, 0.01, 0.02, 0.01, 0.21, 0.00, 0.06, 0.00, 0.00, 0.00, 0.04, 0.24, 0.71, 0.71, 1.44, 0.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
33,  0,  1.280,  0.98,  1, 0.00, 0.02, 0.00, 0.02, 0.05, 0.39, 0.02, 0.16, 0.05, 0.00, 0.03, 0.23, 0.20, 0.47, 0.99, 0.84, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
34,  0,  1.320,  0.98,  1, 0.05, 0.14, 0.00, 0.00, 0.07, 0.53, 0.02, 0.16, 0.05, 0.00, 0.03, 0.39, 0.10, 0.24, 1.11, 0.33, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
35,  0,  1.360,  0.98,  1, 0.10, 0.12, 0.00, 0.00, 0.06, 0.35, 0.02, 0.10, 0.05, 0.00, 0.04, 0.49, 0.00, 0.06, 1.05, 0.00, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
36,  0,  1.400,  0.98,  1, 0.22, 0.12, 0.00, 0.00, 0.02, 0.17, 0.00, 0.00, 0.00, 0.00, 0.08, 0.41, 0.00, 0.06, 1.05, 0.04, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
37,  0,  1.440,  0.98,  1, 0.28, 0.00, 0.00, 0.00, 0.00, 0.02, 0.02, 0.00, 0.00, 0.00, 0.09, 0.23, 0.00, 0.04, 1.12, 0.28, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
38,  0,  1.480,  0.98,  1, 0.40, 0.02, 0.00, 0.00, 0.00, 0.02, 0.07, 0.00, 0.00, 0.00, 0.14, 0.15, 0.00, 0.00, 1.14, 0.57, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
39,  0,  1.520,  0.98,  1, 0.45, 0.06, 0.00, 0.00, 0.00, 0.02, 0.07, 0.00, 0.00, 0.00, 0.07, 0.04, 0.04, 0.00, 1.07, 0.74, 0.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
40,  0,  1.560,  0.98,  1, 0.57, 0.27, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.05, 0.02, 0.09, 0.00, 1.03, 0.68, 0.07, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
41,  0,  1.600,  0.98,  1, 0.61, 0.37, 0.00, 0.02, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 1.01, 0.58, 0.11, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
42,  0,  1.640,  0.98,  1, 0.61, 0.42, 0.00, 0.02, 0.00, 0.02, 0.17, 0.00, 0.00, 0.00, 0.02, 0.04, 0.08, 0.00, 1.06, 0.54, 0.20, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
43,  0,  1.680,  0.98,  1, 0.60, 0.34, 0.00, 0.02, 0.07, 0.30, 0.17, 0.03, 0.00, 0.02, 0.02, 0.11, 0.03, 0.00, 1.05, 0.35, 0.40, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
44,  0,  1.720,  0.98,  1, 0.57, 0.43, 0.00, 0.03, 0.11, 0.61, 0.12, 0.03, 0.00, 0.02, 0.02, 0.18, 0.03, 0.00, 1.00, 0.18, 0.57, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
45,  0,  1.760,  0.98,  1, 0.56, 0.46, 0.00, 0.06, 0.15, 0.91, 0.13, 0.03, 0.01, 0.02, 0.00, 0.19, 0.00, 0.00, 0.97, 0.00, 0.61, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
46,  0,  1.800,  0.98,  1, 0.50, 0.47, 0.00, 0.06, 0.16, 0.91, 0.10, 0.00, 0.01, 0.00, 0.00, 0.18, 0.00, 0.00, 0.95, 0.00, 0.60, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
47,  0,  1.840,  0.98,  1, 0.55, 0.44, 0.00, 0.08, 0.21, 0.84, 0.12, 0.00, 0.01, 0.01, 0.00, 0.10, 0.00, 0.00, 1.12, 0.00, 0.63, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
48,  0,  1.880,  0.98,  1, 0.58, 0.40, 0.00, 0.06, 0.25, 0.74, 0.04, 0.00, 0.00, 0.01, 0.00, 0.06, 0.00, 0.00, 1.15, 0.03, 0.65, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
49,  0,  1.920,  0.98,  1, 0.67, 0.41, 0.00, 0.19, 0.17, 0.59, 0.03, 0.00, 0.00, 0.01, 0.00, 0.01, 0.00, 0.00, 0.99, 0.12, 0.61, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
50,  0,  1.960,  0.98,  1, 0.75, 0.31, 0.00, 0.13, 0.08, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.07, 0.65, 0.18, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
51,  0,  2.000,  0.92,  1, 0.87, 0.38, 0.00, 0.23, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 0.27, 0.29, 0.21, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
52,  0,  2.040,  0.92,  1, 0.91, 0.32, 0.00, 0.10, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 0.52, 0.17, 0.11, 0.68, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
53,  0,  2.080,  0.92,  1, 1.01, 0.42, 0.00, 0.15, 0.00, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.67, 0.03, 0.08, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
54,  0,  2.120,  0.92,  1, 0.97, 0.42, 0.00, 0.05, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.86, 0.03, 0.03, 0.85, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
55,  0,  2.160,  0.92,  1, 1.06, 0.61, 0.00, 0.09, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.21, 0.00, 0.78, 0.34, 0.02, 0.88, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
56,  0,  2.200,  0.98,  1, 0.94, 0.65, 0.00, 0.04, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.58, 0.78, 0.00, 0.75, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
57,  0,  2.240,  0.98,  1, 0.92, 0.65, 0.00, 0.04, 0.02, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.18, 1.10, 0.00, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
58,  0,  2.280,  0.98,  1, 0.77, 0.59, 0.00, 0.00, 0.14, 0.44, 0.07, 0.00, 0.00, 0.00, 0.00, 0.39, 0.00, 0.01, 1.24, 0.00, 0.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
59,  0,  2.320,  0.98,  1, 0.80, 0.55, 0.00, 0.00, 0.29, 0.56, 0.08, 0.00, 0.00, 0.00, 0.00, 0.48, 0.00, 0.00, 1.28, 0.00, 1.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
60,  0,  2.360,  0.98,  1, 0.82, 0.55, 0.00, 0.00, 0.31, 0.69, 0.17, 0.00, 0.00, 0.00, 0.00, 0.51, 0.00, 0.00, 1.03, 0.00, 1.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
61,  0,  2.400,  0.98,  1, 0.88, 0.53, 0.00, 0.00, 0.18, 0.64, 0.16, 0.00, 0.00, 0.00, 0.00, 0.55, 0.00, 0.00, 0.55, 0.00, 1.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
62,  0,  2.440,  0.98,  1, 0.82, 0.47, 0.00, 0.00, 0.05, 0.57, 0.14, 0.00, 0.00, 0.00, 0.00, 0.46, 0.00, 0.00, 0.17, 0.00, 1.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
63,  0,  2.480,  0.98,  1, 0.88, 0.58, 0.00, 0.00, 0.04, 0.54, 0.12, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.48, 0.07, 1.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
64,  0,  2.520,  0.98,  1, 0.85, 0.63, 0.00, 0.00, 0.06, 0.43, 0.16, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.87, 0.19, 1.35, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
65,  0,  2.560,  0.98,  1, 0.91, 0.77, 0.00, 0.00, 0.08, 0.49, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.18, 0.19, 1.35, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
66,  0,  2.600,  0.98,  1, 0.91, 0.73, 0.00, 0.00, 0.10, 0.42, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 1.33, 0.16, 1.43, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
67,  0,  2.640,  0.98,  1, 1.18, 0.94, 0.16, 0.00, 0.15, 0.56, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.00, 1.46, 0.12, 1.77, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
68,  0,  2.680,  0.98,  1, 1.37, 1.08, 0.25, 0.00, 0.20, 0.46, 0.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 1.53, 0.12, 2.20, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
69,  0,  2.720,  0.98,  1, 1.46, 1.15, 0.34, 0.00, 0.29, 0.63, 0.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 1.48, 0.14, 2.44, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
70,  0,  2.760,  0.98,  1, 1.26, 1.00, 0.20, 0.00, 0.32, 0.52, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 1.45, 0.11, 2.21, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
71,  0,  2.800,  0.98,  1, 1.07, 0.84, 0.11, 0.00, 0.34, 0.58, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.00, 1.47, 0.13, 1.77, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
